Year,Country,GDP Per Capita - Foreign
1994,Belgium,"$37,010.93"
1994,Lebanon,"$12,961.89"
1995,New Zealand,"$29,315.41"
1995,Thailand,"$10,027.89"
1995,Indonesia,"$5,892.07"
1995,Germany,"$39,301.97"
1995,Hong Kong SAR,"$34,546.43"
1995,United States,"$43,094.95"
1995,Malaysia,"$14,262.78"
1995,United Kingdom,"$32,793.87"
1995,Philippines,"$4,178.03"
1995,Fiji,"$8,993.47"
1995,Japan,"$34,001.23"
1995,France,"$35,346.15"
1995,Italy,"$39,137.81"
1995,Korea,"$18,139.81"
1995,Singapore,"$48,767.72"
1995,Canada,"$32,950.40"
1995,Brunei,"$72,446.41"
1995,Zimbabwe,"$3,226.41"
1995,Solomon Islands,"$2,639.49"
1995,South Africa,"$9,541.17"
1995,New Caledonia,
1995,Tahiti,
1995,Papua New Guinea,"$3,278.91"
1995,Vanuatu,"$2,872.17"
1995,Taiwan,
1995,Western Samoa,
1995,Greece,"$25,122.50"
1995,Bahrain,"$47,172.90"
1995,China,"$2,391.54"
1995,Mauritius,"$9,566.82"
1995,Nauru,
1995,Austria,"$40,647.84"
1995,Netherlands,"$39,684.04"
1995,Lebanon,"$13,308.88"
1995,Argentina,"$17,362.67"
1995,United Arab Emirates,"$101,571.37"
1995,Russia,"$13,349.03"
1995,Tonga,"$4,696.33"
1995,India,"$2,100.64"
1995,Guam,
1995,Vietnam,"$2,252.63"
1995,Egypt,"$6,483.31"
1995,Sri Lanka,"$4,790.35"
1996,New Zealand,"$29,898.88"
1996,Thailand,"$10,477.86"
1996,Indonesia,"$6,258.44"
1996,Germany,"$39,510.09"
1996,Vietnam,"$2,425.53"
1996,Hong Kong SAR,"$34,453.86"
1996,United States,"$44,203.44"
1996,Malaysia,"$15,293.80"
1996,United Kingdom,"$33,525.47"
1996,Philippines,"$4,322.08"
1996,Fiji,"$9,317.48"
1996,Japan,"$34,966.63"
1996,Tahiti,
1996,Papua New Guinea,"$3,447.95"
1996,Vanuatu,"$2,878.05"
1996,Italy,"$39,622.47"
1996,Korea,"$19,385.58"
1996,Singapore,"$50,323.88"
1996,Taiwan,
1996,Canada,"$33,135.73"
1996,Brunei,"$72,694.67"
1996,Zimbabwe,"$3,520.43"
1996,Solomon Islands,"$2,607.53"
1996,South Africa,"$9,761.74"
1996,Nauru,
1996,New Caledonia,
1996,Western Samoa,
1996,Greece,"$25,727.91"
1996,Bahrain,"$47,841.28"
1996,China,"$2,601.57"
1996,Mauritius,"$9,998.62"
1996,United Arab Emirates,"$102,211.44"
1996,Austria,"$41,546.74"
1996,India,"$2,216.81"
1996,Netherlands,"$40,883.41"
1996,Lebanon,"$14,473.38"
1996,Argentina,"$18,104.86"
1996,Egypt,"$6,671.09"
1996,Sri Lanka,"$4,938.71"
1996,Guam,
1996,Russia,"$12,866.47"
1996,France,"$35,718.89"
1996,Tonga,"$4,682.32"
1997,New Zealand,"$30,113.85"
1997,Thailand,"$10,069.37"
1997,China,"$2,812.78"
1997,India,"$2,263.87"
1997,Indonesia,"$6,458.07"
1997,Germany,"$40,156.01"
1997,Japan,"$35,258.77"
1997,Vietnam,"$2,587.06"
1997,Hong Kong SAR,"$35,910.70"
1997,United States,"$45,616.73"
1997,Malaysia,"$15,998.73"
1997,United Kingdom,"$34,728.26"
1997,Philippines,"$4,444.79"
1997,Fiji,"$9,016.52"
1997,Tahiti,
1997,Italy,"$40,326.30"
1997,Korea,"$20,389.68"
1997,Singapore,"$52,711.00"
1997,Taiwan,
1997,Canada,"$34,212.26"
1997,Brunei,"$69,940.87"
1997,Zimbabwe,"$3,580.05"
1997,Solomon Islands,"$2,499.14"
1997,Nauru,
1997,New Caledonia,
1997,Papua New Guinea,"$3,232.79"
1997,Vanuatu,"$2,964.24"
1997,Netherlands,"$42,434.27"
1997,Western Samoa,
1997,Greece,"$26,749.33"
1997,Bahrain,"$47,972.61"
1997,United Arab Emirates,"$105,108.96"
1997,South Africa,"$9,841.63"
1997,Mauritius,"$10,435.80"
1997,Austria,"$42,368.52"
1997,Lebanon,"$14,435.13"
1997,Argentina,"$19,347.71"
1997,Egypt,"$6,897.52"
1997,Sri Lanka,"$5,225.58"
1997,France,"$36,424.31"
1997,Tonga,"$4,659.41"
1998,New Zealand,"$30,086.08"
1998,Thailand,"$9,189.14"
1998,China,"$3,004.27"
1998,India,"$2,360.06"
1998,Indonesia,"$5,531.30"
1998,Germany,"$40,960.57"
1998,Japan,"$34,766.31"
1998,Vietnam,"$2,701.77"
1998,Hong Kong SAR,"$33,517.21"
1998,United States,"$47,108.64"
1998,Malaysia,"$14,451.46"
1998,United Kingdom,"$35,889.32"
1998,Philippines,"$4,322.03"
1998,Fiji,"$9,049.02"
1998,New Caledonia,
1998,Tahiti,
1998,Vanuatu,"$3,038.49"
1998,Korea,"$19,204.67"
1998,Singapore,"$49,831.82"
1998,Taiwan,
1998,Canada,"$34,878.36"
1998,Brunei,"$67,984.22"
